2020-21 Teacher Salaries Report,,,,
District Name,District Code,Salary Totals,Average Salary,FTE Count
Abby Kelley Foster Charter Public (District),04450000,"      $7,586,419","  $66,422",    114.2
Abington,00010000,"     $12,181,431","  $92,005",    132.4
Academy Of the Pacific Rim Charter Public (District),04120000,"      $3,503,450","  $67,505",     51.9
Acton-Boxborough,06000000,"     $36,991,103","  $91,268",    405.3
Acushnet,00030000,"      $5,221,793","  $76,566",     68.2
Advanced Math and Science Academy Charter (District),04300000,"      $5,323,822","  $72,386",     73.6
Agawam,00050000,"     $26,272,816","  $85,887",    305.9
Alma del Mar Charter School (District),04090000,"      $4,016,617","  $63,754",     63.0
Amesbury,00070000,"     $13,799,456","  $86,626",    159.3
Amherst,00080000,"      $9,694,674","  $83,719",    115.8
Amherst-Pelham,06050000,"      $9,704,310","  $84,020",    115.5
Andover,00090000,"     $45,752,152","  $94,627",    483.5
Argosy Collegiate Charter School (District),35090000,"      $2,541,092","  $65,775",     38.6
Arlington,00100000,"     $38,878,430","  $83,466",    465.8
Ashburnham-Westminster,06100000,"     $12,000,752","  $74,493",    161.1
Ashland,00140000,"     $17,508,149","  $84,499",    207.2
Assabet Valley Regional Vocational Technical,08010000,"     $10,036,319","  $92,929",    108.0
Athol-Royalston,06150000,"      $7,818,289","  $67,691",    115.5
Atlantis Charter (District),04910000,"      $4,893,011","  $49,544",     98.8
Attleboro,00160000,"     $34,799,179","  $89,550",    388.6
Auburn,00170000,"     $14,367,883","  $80,268",    179.0
Avon,00180000,"      $5,523,528","  $86,036",     64.2
Ayer Shirley School District,06160000,"     $10,119,963","  $72,701",    139.2
Barnstable,00200000,"     $34,915,501","  $85,472",    408.5
Baystate Academy Charter Public School (District),35020000,"      $2,656,998","  $50,570",     52.5
Bedford,00230000,"     $24,270,763"," $102,581",    236.6
Belchertown,00240000,"     $12,701,375","  $75,874",    167.4
Bellingham,00250000,"     $13,991,946","  $85,213",    164.2
Belmont,00260000,"     $28,236,336"," $101,061",    279.4
Benjamin Banneker Charter Public (District),04200000,"      $1,859,184","  $93,113",     20.0
Benjamin Franklin Classical Charter Public (District),04470000,"      $4,010,915","  $72,946",     55.0
Berkley,00270000,"      $5,021,511","  $77,612",     64.7
Berkshire Arts and Technology Charter Public (District),04140000,"      $2,021,770","  $53,645",     37.7
Berkshire Hills,06180000,"      $9,271,561","  $83,528",    111.0
Berlin-Boylston,06200000,"      $6,987,556","  $77,040",     90.7
Beverly,00300000,"     $28,710,045","  $84,765",    338.7
Billerica,00310000,"     $35,220,392","  $96,126",    366.4
Blackstone Valley Regional Vocational Technical,08050000,"      $8,911,769","  $84,520",    105.4
Blackstone-Millville,06220000,"      $8,907,761","  $82,251",    108.3
Blue Hills Regional Vocational Technical,08060000,"      $7,939,694","  $96,122",     82.6
Boston,00350000,"    $481,668,763"," $104,813","  4,595.5"
Boston Collegiate Charter (District),04490000,"      $5,591,786","  $80,772",     69.2
Boston Day and Evening Academy Charter (District),04240000,"      $3,037,648"," $116,644",     26.0
Boston Green Academy Horace Mann Charter School (District),04110000,"      $4,020,150","  $92,939",     43.3
Boston Preparatory Charter Public (District),04160000,"      $4,468,443","  $76,320",     58.6
Boston Renaissance Charter Public (District),04810000,"      $6,350,118","  $76,505",     83.0
Bourne,00360000,"     $13,186,684","  $94,325",    139.8
Boxford,00380000,"      $5,328,238","  $81,847",     65.1
Braintree,00400000,"     $39,172,634","  $90,218",    434.2
Brewster,00410000,"      $3,837,468","  $81,648",     47.0
Bridge Boston Charter School (District),04170000,"      $2,733,609","  $65,087",     42.0
Bridgewater-Raynham,06250000,"     $30,730,475","  $92,617",    331.8
Brimfield,00430000,"      $2,226,401","  $89,414",     24.9
Bristol County Agricultural,09100000,"      $2,679,245","  $76,115",     35.2
