2019-20 Teacher Salaries Report,,,,
District Name,District Code,Salary Totals,Average Salary,FTE Count
Abby Kelley Foster Charter Public (District),04450000,"      $6,876,598","  $59,321",    115.9
Abington,00010000,"     $11,881,609","  $94,149",    126.2
Academy Of the Pacific Rim Charter Public (District),04120000,"      $3,295,016","  $68,505",     48.1
Acton-Boxborough,06000000,"     $34,234,578","  $89,246",    383.6
Acushnet,00030000,"      $5,173,481","  $73,383",     70.5
Advanced Math and Science Academy Charter (District),04300000,"      $5,237,564","  $66,333",     79.0
Agawam,00050000,"     $25,960,018","  $84,533",    307.1
Alma del Mar Charter School (District),04090000,"      $3,313,105","  $63,714",     52.0
Amesbury,00070000,"     $13,587,070","  $81,751",    166.2
Amherst,00080000,"      $9,664,620","  $80,338",    120.3
Amherst-Pelham,06050000,"      $9,628,651","  $85,588",    112.5
Andover,00090000,"     $44,045,945","  $91,896",    479.3
Argosy Collegiate Charter School (District),35090000,"      $2,454,316","  $61,174",     40.1
Arlington,00100000,"     $35,811,485","  $81,650",    438.6
Ashburnham-Westminster,06100000,"     $11,631,430","  $71,534",    162.6
Ashland,00140000,"     $16,908,571","  $83,540",    202.4
Assabet Valley Regional Vocational Technical,08010000,"      $9,051,274","  $78,434",    115.4
Athol-Royalston,06150000,"      $7,415,511","  $66,567",    111.4
Atlantis Charter (District),04910000,"      $4,852,202","  $46,782",    103.7
Attleboro,00160000,"     $34,080,752","  $88,775",    383.9
Auburn,00170000,"     $14,401,589","  $77,553",    185.7
Avon,00180000,"      $5,343,108","  $78,345",     68.2
Ayer Shirley School District,06160000,"      $9,403,905","  $70,600",    133.2
Barnstable,00200000,"     $33,421,064","  $85,128",    392.6
Baystate Academy Charter Public School (District),35020000,"      $2,709,816","  $53,209",     50.9
Bedford,00230000,"     $23,190,429","  $97,644",    237.5
Belchertown,00240000,"     $12,575,818","  $74,501",    168.8
Bellingham,00250000,"     $13,329,518","  $82,383",    161.8
Belmont,00260000,"     $27,455,202","  $96,334",    285.0
Benjamin Banneker Charter Public (District),04200000,"      $1,548,205","  $81,484",     19.0
Benjamin Franklin Classical Charter Public (District),04470000,"      $3,707,371","  $68,655",     54.0
Bentley Academy Charter School (District),35110000,"      $2,066,440","  $71,041",     29.1
Berkley,00270000,"      $4,565,839","  $72,704",     62.8
Berkshire Arts and Technology Charter Public (District),04140000,"      $1,816,057","  $48,651",     37.3
Berkshire Hills,06180000,"      $9,081,789","  $79,805",    113.8
Berlin-Boylston,06200000,"      $6,832,032","  $76,764",     89.0
Beverly,00300000,"     $26,942,167","  $80,233",    335.8
Billerica,00310000,"     $34,272,836","  $92,504",    370.5
Blackstone Valley Regional Vocational Technical,08050000,"      $8,537,741","  $82,442",    103.6
Blackstone-Millville,06220000,"      $9,027,012","  $77,485",    116.5
Blue Hills Regional Vocational Technical,08060000,"      $7,834,589","  $92,172",     85.0
Boston,00350000,"    $463,706,080"," $105,235","  4,406.4"
Boston Collegiate Charter (District),04490000,"      $5,180,179","  $74,680",     69.4
Boston Day and Evening Academy Charter (District),04240000,"      $2,897,829"," $136,349",     21.3
Boston Green Academy Horace Mann Charter School (District),04110000,"      $3,469,815","  $83,050",     41.8
Boston Preparatory Charter Public (District),04160000,"      $3,387,866","  $61,099",     55.5
Boston Renaissance Charter Public (District),04810000,"      $6,146,494","  $74,684",     82.3
Bourne,00360000,"     $12,374,661","  $86,901",    142.4
Boxford,00380000,"      $5,259,132","  $80,910",     65.0
Braintree,00400000,"     $38,022,824","  $89,698",    423.9
Brewster,00410000,"      $3,588,352","  $81,739",     43.9
