2020-21 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Ludlow,01610000,"   1,596",  11.3,"      2,402",  48.9,  51.0,   4.4,  16.0,  32.2
Lunenburg,01620000,     890,  17.0,"      1,595",  48.0,  51.7,   1.2,  15.4,  21.4
Lynn,01630000,"   5,093",  15.4,"     12,825",  47.1,  52.7,  31.4,  17.9,  65.6
Lynnfield,01640000,     861,  17.6,"      2,179",  50.1,  49.8,   2.4,  18.1,   9.6
MATCH Charter Public School (District),04690000,     357,  19.9,"      1,220",  51.6,  48.4,  18.3,  23.0,  69.8
Ma Academy for Math and Science,04680000,      32,  11.0,         44,  52.3,  47.7,   0.0,   0.0,   2.3
Malden,01650000,"   2,778",  18.6,"      6,237",  48.2,  51.7,  19.5,  16.9,  54.1
Manchester Essex Regional,06980000,     671,  14.8,"      1,271",  49.0,  50.9,   0.6,  17.6,  11.8
Mansfield,01670000,"   1,525",  15.0,"      3,527",  48.1,  51.9,   2.1,  14.4,  17.6
Map Academy Charter School (District),35170000,     130,  15.1,        203,  38.9,  58.6,   0.0,  49.8,  55.7
Marblehead,01680000,"   1,603",  16.2,"      2,723",  48.1,  51.7,   4.4,  22.1,  12.2
Marblehead Community Charter Public (District),04640000,      89,  18.2,        211,  44.6,  55.5,   8.1,  26.5,  17.5
Marion,01690000,     313,   9.4,        403,  47.4,  52.6,   0.3,  19.9,  25.3
Marlborough,01700000,"   3,081",  12.2,"      4,901",  47.1,  52.9,  25.4,  16.7,  48.9
Marshfield,01710000,"   2,148",  11.6,"      3,817",  48.1,  51.9,   1.3,  18.6,  15.6
Martha's Vineyard,07000000,     423,  12.8,        677,  47.0,  53.0,  11.2,  20.5,  34.3
Martha's Vineyard Charter (District),04660000,      86,  11.6,        166,  54.2,  45.8,   5.4,  27.1,  41.6
Martin Luther King Jr. Charter School of Excellence (District),04920000,     108,  20.0,        360,  48.6,  51.4,  27.2,  14.7,  77.5
Masconomet,07050000,     940,  15.8,"      1,692",  53.1,  46.8,   0.1,  17.1,   8.4
Mashpee,01720000,     959,  14.8,"      1,525",  48.8,  51.2,   4.7,  15.3,  36.1
Mattapoisett,01730000,     402,  10.5,        412,  48.5,  51.5,   0.5,  17.0,  18.9
Maynard,01740000,     805,  15.6,"      1,189",  48.7,  51.1,   4.5,  18.3,  20.9
Medfield,01750000,"   1,475",  17.5,"      2,507",  49.1,  50.9,   1.1,  12.7,   6.2
Medford,01760000,"   2,194",  13.0,"      3,969",  47.8,  52.2,  10.7,  20.3,  34.9
Medway,01770000,"   1,215",  15.9,"      2,094",  50.0,  49.9,   1.9,  16.0,  12.5
Melrose,01780000,"   1,641",  18.7,"      3,691",  50.4,  49.6,   5.6,  16.6,  13.5
Mendon-Upton,07100000,"   1,163",  15.2,"      2,170",  49.8,  50.2,   2.4,  16.4,  11.7
Methuen,01810000,"   3,001",  18.3,"      6,572",  47.2,  52.8,  11.7,  18.7,  43.8
Middleborough,01820000,"   1,688",  16.0,"      2,922",  48.8,  51.2,   1.5,  17.7,  34.0
Middleton,01840000,     362,  13.9,        682,  51.3,  48.7,   1.8,  19.1,   9.8
Milford,01850000,"   2,895",  11.3,"      4,329",  47.2,  52.8,  22.9,  17.1,  47.0
Millbury,01860000,     782,  16.7,"      1,533",  47.2,  52.5,   3.7,  19.4,  29.8
Millis,01870000,     586,  16.1,"      1,172",  49.1,  50.8,   2.1,  14.2,  14.9
Milton,01890000,"   2,244",  17.3,"      4,343",  50.5,  49.4,   2.1,  17.2,  12.3
Minuteman Regional Vocational Technical,08300000,     499,  12.8,        627,  38.4,  60.8,   0.8,  33.7,  19.1
Mohawk Trail,07170000,     452,   9.2,        747,  49.1,  50.9,   0.7,  24.9,  36.0
Monomoy Regional School District,07120000,"   1,348",  13.4,"      1,766",  48.2,  51.8,   4.9,  18.1,  32.1
Monson,01910000,     547,  13.5,        844,  51.2,  48.6,   0.4,  21.0,  32.9
Montachusett Regional Vocational Technical,08320000,     638,  17.8,"      1,401",  50.2,  48.9,   1.0,  15.1,  27.8
Mount Greylock,07150000,     995,   9.3,"      1,079",  50.7,  49.0,   0.8,  14.9,  20.7
Mystic Valley Regional Charter (District),04700000,     775,  24.0,"      1,609",  52.0,  48.0,   1.9,  12.2,  24.1
Nahant,01960000,      74,  16.2,        155,  46.5,  53.6,   0.0,  19.4,  22.6
Nantucket,01970000,     917,  16.1,"      1,688",  48.0,  52.0,  15.9,  17.6,  29.6
Narragansett,07200000,     598,  17.4,"      1,349",  47.4,  52.5,   0.4,  19.4,  35.3
Nashoba,07250000,"   1,745",  13.3,"      3,108",  48.8,  51.1,   3.1,  17.8,  10.6
Nashoba Valley Regional Vocational Technical,08520000,     461,  11.9,        710,  38.3,  60.6,   0.3,  31.6,  25.8
Natick,01980000,"   2,569",  17.9,"      5,291",  48.0,  51.9,   3.1,  16.3,  11.1
Nauset,06600000,"   1,070",  13.6,"      1,410",  52.3,  47.2,   2.0,  15.9,  24.8
Needham,01990000,"   2,482",  16.4,"      5,527",  49.5,  50.4,   3.3,  18.0,   6.7
Neighborhood House Charter (District),04440000,     364,  16.7,        795,  48.7,  51.2,   9.4,  21.8,  51.7
New Bedford,02010000,"   6,457",  17.0,"     12,685",  47.6,  52.4,  26.3,  22.9,  75.0
New Heights Charter School of Brockton (District),35130000,     190,  24.0,        636,  49.5,  50.5,  15.9,  11.2,  50.3
New Salem-Wendell,07280000,      79,  16.4,        131,  51.2,  48.9,   0.0,  23.7,  35.1
Newburyport,02040000,"   1,712",  14.0,"      2,150",  50.0,  50.0,   2.2,  19.2,  11.8
Newton,02070000,"   5,815",  17.1,"     12,121",  48.9,  50.9,   5.4,  17.7,  10.9
Norfolk,02080000,     243,  22.3,        987,  46.8,  53.2,   2.4,  18.8,   6.2
Norfolk County Agricultural,09150000,     445,  16.7,        586,  71.3,  28.3,   0.2,  22.2,  16.2
North Adams,02090000,     555,  14.9,"      1,300",  49.2,  50.8,   0.9,  25.5,  67.5
North Andover,02110000,"   3,044",  18.0,"      4,559",  48.6,  51.4,   2.3,  17.9,  18.9
North Attleborough,02120000,"   2,158",  15.6,"      3,991",  48.6,  51.3,   3.7,  18.5,  20.6
North Brookfield,02150000,     230,  11.2,        516,  48.5,  51.6,   0.8,  22.9,  39.2
North Middlesex,07350000,"   1,579",  18.6,"      2,941",  48.8,  51.2,   1.5,  23.7,  22.7
North Reading,02170000,"   1,297",  17.3,"      2,313",  48.4,  51.6,   0.7,  18.7,   9.6
Northampton,02100000,"   1,207",  16.8,"      2,648",  48.4,  51.2,   4.8,  20.2,  28.1
Northampton-Smith Vocational Agricultural,04060000,     429,  12.4,        535,  41.5,  58.3,   3.4,  40.6,  36.6
Northboro-Southboro,07300000,     802,  14.6,"      1,357",  51.5,  48.5,   1.3,  14.4,  10.1
Northborough,02130000,     610,  15.8,"      1,531",  47.2,  52.8,   5.9,  21.2,  15.9
Northbridge,02140000,     804,  17.8,"      1,971",  48.7,  51.3,   2.6,  18.1,  34.3
Northeast Metropolitan Regional Vocational Technical,08530000,"   1,502",  11.5,"      1,292",  44.9,  55.0,   5.0,  18.9,  42.9
Northern Berkshire Regional Vocational Technical,08510000,     441,  11.1,        501,  40.7,  59.3,   0.0,  14.6,  38.3
Norton,02180000,"   1,341",  15.9,"      2,403",  50.4,  49.6,   2.1,  21.6,  23.8
Norwell,02190000,     952,  14.9,"      2,223",  48.0,  52.0,   0.3,  15.7,   5.0
