2015-16 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Abby Kelley Foster Charter Public (District),04450000,     118.1,  97.5,     606, 100.0,  12.1 to 1
Abington,00010000,     129.9,  98.5,     756,  98.8,  14.9 to 1
Academy Of the Pacific Rim Charter Public (District),04120000,      42.2,  78.1,     114,  96.5,  12.4 to 1
Acton-Boxborough,06000000,     367.5, 100.0,"   1,596", 100.0,  15.3 to 1
Acushnet,00030000,      70.0, 100.0,     378,  98.7,  13.9 to 1
Adams-Cheshire,06030000,      89.3,  97.8,     551,  98.0,  15.2 to 1
Advanced Math and Science Academy Charter (District),04300000,      76.4,  91.0,     377, 100.0,  13.0 to 1
Agawam,00050000,     317.1, 100.0,"   1,795", 100.0,  12.4 to 1
Alma del Mar Charter School (District),04090000,      28.9,  51.7,      90,  45.6,   9.8 to 1
Amesbury,00070000,     163.7,  98.6,     919,  87.7,  13.8 to 1
Amherst,00080000,     121.5,  98.8,     460,  98.9,   9.7 to 1
Amherst-Pelham,06050000,     116.5,  98.9,     878,  95.8,  11.8 to 1
Andover,00090000,     466.4,  99.8,"   2,113",  99.7,  13.0 to 1
Argosy Collegiate Charter School (District),35090000,      15.6,  78.2,      48,  95.8,  12.9 to 1
Arlington,00100000,     381.4,  99.1,"   1,872",  99.8,  13.9 to 1
Ashburnham-Westminster,06100000,     154.2,  99.2,     980,  98.6,  15.2 to 1
Ashland,00140000,     184.1, 100.0,     915, 100.0,  14.7 to 1
Assabet Valley Regional Vocational Technical,08010000,     106.0,  98.1,     330, 100.0,  10.2 to 1
Athol-Royalston,06150000,     100.4, 100.0,     541,  99.3,  14.2 to 1
Atlantis Charter (District),04910000,      73.1,  75.4,     327,  98.2,  14.1 to 1
Attleboro,00160000,     382.6,  99.2,"   2,045",  99.0,  15.5 to 1
Auburn,00170000,     176.1, 100.0,"   1,035", 100.0,  13.9 to 1
Avon,00180000,      65.8, 100.0,     267, 100.0,  11.1 to 1
Ayer Shirley School District,06160000,     121.2,  98.5,     600,  99.0,  14.0 to 1
Barnstable,00200000,     368.1, 100.0,"   1,482",  99.9,  13.3 to 1
Barnstable Community Horace Mann Charter Public (District),04270000,      26.0, 100.0,     114, 100.0,  11.2 to 1
Baystate Academy Charter Public School (District),35020000,      26.2,  66.5,     139,  90.6,  11.6 to 1
Bedford,00230000,     221.0,  99.5,"   1,080",  99.4,  11.5 to 1
Belchertown,00240000,     166.7, 100.0,     979, 100.0,  14.1 to 1
Bellingham,00250000,     156.5, 100.0,     924, 100.0,  14.5 to 1
Belmont,00260000,     260.0,  99.4,"   1,276",  99.4,  16.8 to 1
Benjamin Banneker Charter Public (District),04200000,      21.0,  95.2,     109,  95.4,  16.6 to 1
Benjamin Franklin Classical Charter Public (District),04470000,      27.2,  77.2,     161, 100.0,  16.4 to 1
Bentley Academy Charter School (District),35110000,      25.5, 100.0,      95,  95.8,  10.0 to 1
Berkley,00270000,      60.2, 100.0,     289,  98.3,  15.0 to 1
Berkshire Arts and Technology Charter Public (District),04140000,      31.3,  64.5,     133,  88.0,  11.3 to 1
Berkshire Hills,06180000,     113.5,  96.2,     541,  95.4,  11.5 to 1
Berlin,00280000,      16.3, 100.0,      96, 100.0,  11.3 to 1
Berlin-Boylston,06200000,      43.7, 100.0,     252, 100.0,  12.8 to 1
Beverly,00300000,     307.7,  98.6,"   1,173",  98.6,  14.7 to 1
Billerica,00310000,     372.5, 100.0,"   1,548",  98.4,  13.4 to 1
Blackstone Valley Regional Vocational Technical,08050000,      92.2,  97.8,     330, 100.0,  13.0 to 1
Blackstone-Millville,06220000,     138.5,  98.6,     594,  97.8,  12.5 to 1
Blue Hills Regional Vocational Technical,08060000,      79.5,  95.0,     202, 100.0,  11.1 to 1
Boston,00350000,,,,,
Boston Collegiate Charter (District),04490000,      63.2,  66.7,     231,  93.1,  10.8 to 1
Boston Day and Evening Academy Charter (District),04240000,      21.6, 100.0,     332, 100.0,  17.6 to 1
Boston Green Academy Horace Mann Charter School (District),04110000,      41.0,  92.0,     169, 100.0,  10.7 to 1
Boston Preparatory Charter Public (District),04160000,      34.6,  75.7,      50,  80.0,  12.0 to 1
Boston Renaissance Charter Public (District),04810000,      74.0,  74.7,     320,  65.9,  12.8 to 1
Bourne,00360000,     145.1,  98.4,     804,  98.8,  13.3 to 1
Boxford,00380000,      62.9,  99.1,     261, 100.0,  11.7 to 1
Boylston,00390000,      21.5, 100.0,     136, 100.0,  14.1 to 1
Braintree,00400000,     421.9,  99.6,"   2,318",  99.7,  13.6 to 1
Brewster,00410000,      45.0, 100.0,     163, 100.0,  10.9 to 1
Bridge Boston Charter School (District),04170000,      19.4,  71.6,      82,  93.9,  11.4 to 1
Bridgewater-Raynham,06250000,     334.3, 100.0,"   1,617", 100.0,  15.8 to 1
Brimfield,00430000,      25.6, 100.0,      95, 100.0,  11.2 to 1
Bristol County Agricultural,09100000,      34.2,  94.2,      98, 100.0,  13.7 to 1
Bristol-Plymouth Regional Vocational Technical,08100000,      98.9, 100.0,     636, 100.0,  13.2 to 1
Brockton,00440000,"   1,076.9",  99.7,"   5,170",  97.0,  15.9 to 1
Brooke Charter School East Boston (District),04570000,      40.0,  67.5,     231,  67.5,  12.5 to 1
Brooke Charter School Mattapan (District),04430000,      41.0,  56.1,     222,  77.9,  11.9 to 1
