2015Per Pupil Expenditure,,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Abington,00010000,"          $23,365,711.00","           1,939.0","              $12,050.39","          $27,229,101.00","           2,051.8","              $13,270.84",
Acton-Boxborough,06000000,"          $72,610,771.00","           5,643.6","              $12,866.04","          $81,149,570.00","           5,789.7","              $14,016.20",
Acushnet,00030000,"          $10,825,382.00",             967.5,"              $11,189.03","          $15,201,154.00","           1,281.7","              $11,860.15",
Adams-Cheshire,06030000,"          $18,446,324.00","           1,392.8","              $13,244.06","          $19,860,457.00","           1,538.8","              $12,906.46",
Agawam,00050000,"          $53,871,628.00","           3,976.8","              $13,546.48","          $59,044,279.00","           4,110.8","              $14,363.21",
Amesbury,00070000,"          $29,541,450.00","           2,272.2","              $13,001.25","          $33,668,081.00","           2,444.7","              $13,771.87",
Amherst,00080000,"          $24,400,717.00","           1,183.5","              $20,617.42","          $25,999,942.00","           1,284.8","              $20,236.57",
Amherst-Pelham,06050000,"          $28,659,615.00","           1,449.9","              $19,766.61","          $32,343,300.00","           1,618.9","              $19,978.57",
Andover,00090000,"          $90,103,626.00","           6,128.1","              $14,703.35","          $97,309,356.00","           6,237.1","              $15,601.70",
Arlington,00100000,"          $64,938,117.00","           5,272.4","              $12,316.61","          $72,601,544.00","           5,425.0","              $13,382.77",
Ashburnham-Westminster,06100000,"          $28,986,848.00","           2,322.6","              $12,480.34","          $30,711,370.00","           2,407.7","              $12,755.48",
Ashland,00140000,"          $33,283,483.00","           2,586.6","              $12,867.66","          $37,183,647.00","           2,732.5","              $13,607.92",
Assabet Valley Regional Vocational Technical,08010000,"          $20,120,461.00","           1,077.7","              $18,669.82","          $20,161,630.00","           1,079.7","              $18,673.36",
Athol-Royalston,06150000,"          $20,115,418.00","           1,382.8","              $14,546.87","          $24,263,197.00","           1,771.7","              $13,694.87",
Attleboro,00160000,"          $72,586,690.00","           5,798.7","              $12,517.75","          $81,366,329.00","           6,268.4","              $12,980.40",
Auburn,00170000,"          $31,001,399.00","           2,351.2","              $13,185.35","          $32,811,408.00","           2,416.0","              $13,580.88",
Avon,00180000,"          $10,237,116.00",             728.8,"              $14,046.54","          $10,583,378.00",             740.9,"              $14,284.49",
Ayer Shirley School District,06160000,"          $22,333,154.00","           1,644.6","              $13,579.69","          $26,949,019.00","           1,928.4","              $13,974.81",
Barnstable,00200000,"          $72,770,120.00","           4,866.8","              $14,952.35","          $83,705,428.00","           5,575.6","              $15,012.81",
Bedford,00230000,"          $39,583,899.00","           2,521.6","              $15,697.93","          $46,616,267.00","           2,613.1","              $17,839.45",
Belchertown,00240000,"          $28,806,737.00","           2,349.1","              $12,262.88","          $31,648,712.00","           2,513.4","              $12,591.99",
Bellingham,00250000,"          $30,331,546.00","           2,359.9","              $12,852.89","          $33,532,419.00","           2,536.4","              $13,220.48",
Belmont,00260000,"          $49,380,143.00","           4,224.4","              $11,689.27","          $56,228,502.00","           4,315.8","              $13,028.52",
Berkley,00270000,"          $10,232,795.00",             850.7,"              $12,028.68","          $10,492,134.00",             859.8,"              $12,202.99",
Berkshire Hills,06180000,"          $23,547,606.00","           1,349.2","              $17,453.01","          $25,330,962.00","           1,467.8","              $17,257.77",
Berlin,00280000,"           $3,463,938.00",             187.6,"              $18,464.49","           $3,573,503.00",             191.3,"              $18,680.10",
Berlin-Boylston,06200000,"           $7,233,688.00",             550.1,"              $13,149.77","           $8,849,210.00",             623.2,"              $14,199.63",
Beverly,00300000,"          $54,772,903.00","           4,481.9","              $12,220.91","          $61,663,547.00","           4,675.6","              $13,188.37",
Billerica,00310000,"          $74,898,453.00","           5,082.0","              $14,737.99","          $83,776,392.00","           5,427.7","              $15,434.97",
Blackstone Valley Regional Vocational Technical,08050000,"          $21,800,006.00","           1,188.1","              $18,348.63","          $21,800,006.00","           1,188.1","              $18,348.63",
Blackstone-Millville,06220000,"          $22,161,900.00","           1,762.9","              $12,571.27","          $24,551,946.00","           1,869.1","              $13,135.70",
Blue Hills Regional Vocational Technical,08060000,"          $18,129,830.00",             849.0,"              $21,354.33","          $18,134,830.00",             850.0,"              $21,335.09",
Boston,00350000,"       $1,093,104,368.00","          56,858.8","              $19,224.89","       $1,269,579,527.00","          65,964.6","              $19,246.36",
Bourne,00360000,"          $29,212,618.00","           1,999.9","              $14,607.04","          $33,090,991.00","           2,210.6","              $14,969.24",
Boxford,00380000,"          $11,734,288.00",             749.0,"              $15,666.61","          $12,296,368.00",             758.0,"              $16,222.12",
Boylston,00390000,"           $3,868,380.00",             297.7,"              $12,994.22","           $4,310,493.00",             325.9,"              $13,226.43",
Braintree,00400000,"          $73,316,390.00","           5,660.6","              $12,952.05","          $79,838,684.00","           5,769.7","              $13,837.58",
Brewster,00410000,"           $9,822,014.00",             468.1,"              $20,982.73","          $10,139,836.00",             492.9,"              $20,571.79",
Bridgewater-Raynham,06250000,"          $63,702,161.00","           5,280.5","              $12,063.66","          $70,289,768.00","           5,509.0","              $12,759.08",
Brimfield,00430000,"           $3,986,502.00",             288.5,"              $13,818.03","           $4,587,834.00",             299.3,"              $15,328.55",
Bristol County Agricultural,09100000,"           $8,632,381.00",             447.8,"              $19,277.31","           $8,632,381.00",             447.8,"              $19,277.31",
Bristol-Plymouth Regional Vocational Technical,08100000,"          $22,952,096.00","           1,306.5","              $17,567.62","          $22,978,896.00","           1,311.9","              $17,515.74",
Brockton,00440000,"         $234,018,143.00","          16,858.5","              $13,881.31","         $249,325,909.00","          17,541.3","              $14,213.65",
Brookfield,00450000,"           $3,649,658.00",             332.2,"              $10,986.33","           $3,848,005.00",             334.5,"              $11,503.75",
Brookline,00460000,"         $128,747,803.00","           7,500.4","              $17,165.46","         $133,544,403.00","           7,565.2","              $17,652.46",
Burlington,00480000,"          $60,921,774.00","           3,451.5","              $17,650.81","          $68,300,610.00","           3,550.3","              $19,237.98",
Cambridge,00490000,"         $168,307,566.00","           6,428.0","              $26,183.50","         $194,321,971.00","           7,048.6","              $27,568.87",
Canton,00500000,"          $44,371,614.00","           3,359.4","              $13,208.20","          $48,664,018.00","           3,434.9","              $14,167.52",
Cape Cod Regional Vocational Technical,08150000,"          $15,543,882.00",             633.1,"              $24,552.02","          $15,553,882.00",             635.1,"              $24,490.44",
Carlisle,00510000,"          $11,116,511.00",             638.8,"              $17,402.18","          $11,656,795.00",             645.8,"              $18,050.16",
Carver,00520000,"          $22,082,455.00","           1,625.1","              $13,588.37","          $24,028,001.00","           1,684.7","              $14,262.48",
Central Berkshire,06350000,"          $27,207,476.00","           1,712.2","              $15,890.36","          $28,379,800.00","           1,878.8","              $15,105.28",
Chelmsford,00560000,"          $61,371,151.00","           5,028.4","              $12,204.91","          $70,390,126.00","           5,296.9","              $13,288.93",
Chelsea,00570000,"          $80,232,201.00","           6,300.4","              $12,734.46","          $96,592,693.00","           7,014.6","              $13,770.24",
Chesterfield-Goshen,06320000,"           $2,223,107.00",             152.2,"              $14,606.48","           $2,335,712.00",             166.0,"              $14,070.55",
Chicopee,00610000,"         $104,445,940.00","           7,618.3","              $13,709.87","         $108,607,100.00","           7,950.9","              $13,659.72",
Clarksburg,00630000,"           $2,570,975.00",             170.5,"              $15,079.03","           $3,178,055.00",             213.1,"              $14,913.44",
Clinton,00640000,"          $21,906,697.00","           1,857.3","              $11,794.92","          $28,176,190.00","           2,179.2","              $12,929.60",
Cohasset,00650000,"          $22,547,731.00","           1,593.5","              $14,149.82","          $24,144,763.00","           1,616.4","              $14,937.37",
Concord,00670000,"          $35,083,262.00","           2,094.9","              $16,746.99","          $37,477,872.00","           2,139.5","              $17,517.12",
Concord-Carlisle,06400000,"          $24,139,660.00","           1,257.7","              $19,193.50","          $28,109,893.00","           1,306.3","              $21,518.71",
Conway,00680000,"           $2,668,689.00",             168.0,"              $15,885.05","           $2,784,212.00",             179.1,"              $15,545.57",
Danvers,00710000,"          $48,480,811.00","           3,564.9","              $13,599.49","          $53,711,946.00","           3,677.1","              $14,607.15",
Dartmouth,00720000,"          $43,980,804.00","           3,697.9","              $11,893.45","          $46,942,014.00","           3,759.2","              $12,487.23",
Dedham,00730000,"          $45,018,771.00","           2,741.8","              $16,419.42","          $50,399,818.00","           2,834.7","              $17,779.59",
Deerfield,00740000,"           $5,851,083.00",             430.9,"              $13,578.75","           $6,347,824.00",             460.4,"              $13,787.63",
Dennis-Yarmouth,06450000,"          $50,252,128.00","           2,964.4","              $16,951.87","          $58,026,147.00","           3,517.0","              $16,498.76",
Dighton-Rehoboth,06500000,"          $36,077,252.00","           2,899.7","              $12,441.72","          $39,284,547.00","           2,950.2","              $13,315.89",
Douglas,00770000,"          $16,768,779.00","           1,530.8","              $10,954.26","          $18,516,872.00","           1,594.6","              $11,612.24",
Dover,00780000,"           $9,028,165.00",             476.3,"              $18,954.79","          $12,012,522.00",             495.1,"              $24,262.82",
Dover-Sherborn,06550000,"          $21,603,572.00","           1,169.6","              $18,470.91","          $22,519,127.00","           1,206.0","              $18,672.58",
Dracut,00790000,"          $39,350,547.00","           3,672.6","              $10,714.63","          $44,748,069.00","           3,932.0","              $11,380.49",
Dudley-Charlton Reg,06580000,"          $43,514,694.00","           4,000.0","              $10,878.67","          $47,410,853.00","           4,092.5","              $11,584.81",
Duxbury,00820000,"          $40,979,317.00","           3,204.4","              $12,788.45","          $42,698,533.00","           3,245.5","              $13,156.23",
East Bridgewater,00830000,"          $21,557,015.00","           2,280.8","               $9,451.51","          $24,527,295.00","           2,358.4","              $10,399.97",
East Longmeadow,00870000,"          $34,043,332.00","           2,670.7","              $12,746.97","          $37,248,544.00","           2,748.0","              $13,554.78",
Eastham,00850000,"           $4,850,559.00",             174.8,"              $27,749.19","           $5,111,078.00",             189.4,"              $26,985.63",
Easthampton,00860000,"          $18,612,256.00","           1,529.1","              $12,172.03","          $24,120,881.00","           1,867.5","              $12,916.13",
Easton,00880000,"          $44,843,576.00","           3,760.7","              $11,924.26","          $48,800,124.00","           3,833.3","              $12,730.58",
Edgartown,00890000,"           $9,138,180.00",             353.4,"              $25,857.89","          $10,027,905.00",             415.7,"              $24,122.94",
Erving,00910000,"           $3,456,087.00",             139.6,"              $24,757.07","           $5,013,164.00",             259.9,"              $19,288.82",
Essex North Shore Agricultural and Technical School District,08170000,"          $23,825,490.00","           1,097.0","              $21,718.77","          $23,917,764.00","           1,114.0","              $21,470.17",
Everett,00930000,"          $87,921,740.00","           7,030.5","              $12,505.76","         $102,060,185.00","           7,697.7","              $13,258.53",
Fairhaven,00940000,"          $22,544,466.00","           2,010.2","              $11,215.04","          $24,755,993.00","           2,055.1","              $12,046.13",
Fall River,00950000,"         $139,277,671.00","          10,164.4","              $13,702.50","         $160,329,690.00","          11,390.1","              $14,076.23",
Falmouth,00960000,"          $53,051,341.00","           3,529.1","              $15,032.54","          $58,760,226.00","           3,717.9","              $15,804.68",
Farmington River Reg,06620000,"           $3,457,234.00",             124.6,"              $27,746.66","           $4,882,196.00",             285.6,"              $17,094.52",
Fitchburg,00970000,"          $64,710,795.00","           4,937.4","              $13,106.25","          $78,001,260.00","           5,659.1","              $13,783.33",
Florida,00980000,"           $1,596,804.00",              85.1,"              $18,763.85","           $1,817,974.00",             102.0,"              $17,823.27",
Foxborough,00990000,"          $39,396,172.00","           2,678.7","              $14,707.20","          $42,640,222.00","           2,804.0","              $15,206.93",
Framingham,01000000,"         $135,764,396.00","           8,320.5","              $16,316.86","         $156,749,571.00","           8,984.0","              $17,447.64",
Franklin,01010000,"          $65,834,303.00","           5,634.9","              $11,683.31","          $76,602,309.00","           6,160.1","              $12,435.24",
Franklin County Regional Vocational Technical,08180000,"          $11,627,948.00",             490.3,"              $23,715.99","          $11,639,848.00",             492.7,"              $23,624.62",
