2021Per Pupil Expenditure,,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Abby Kelley Foster Charter Public (District),04450000,"          $24,004,095.80","           1,424.3","              $16,853.85","          $24,004,095.80","           1,424.3","              $16,853.85",
Abington,00010000,"          $31,632,120.91","           2,124.7","              $14,887.81","          $36,223,802.52","           2,243.9","              $16,143.23",
Academy Of the Pacific Rim Charter Public (District),04120000,"          $11,434,614.36",             539.0,"              $21,216.47","          $11,434,614.36",             539.0,"              $21,216.47",
Acton-Boxborough,06000000,"          $91,068,584.80","           5,218.9","              $17,449.77","         $101,101,104.27","           5,344.9","              $18,915.43",
Acushnet,00030000,"          $13,894,379.55",             922.5,"              $15,061.66","          $18,413,333.92","           1,235.1","              $14,908.37",
Advanced Math and Science Academy Charter (District),04300000,"          $16,072,974.33",             963.9,"              $16,675.46","          $16,072,974.33",             963.9,"              $16,675.46",
Agawam,00050000,"          $65,524,542.84","           3,462.6","              $18,923.51","          $71,447,853.84","           3,628.7","              $19,689.66",
Alma del Mar Charter School (District),04090000,"          $13,129,188.00",             787.7,"              $16,667.96","          $13,129,188.00",             787.7,"              $16,667.96",
Amesbury,00070000,"          $35,301,080.55","           1,861.9","              $18,959.71","          $40,504,954.06","           2,037.1","              $19,883.64",
Amherst,00080000,"          $27,677,146.00","           1,017.0","              $27,214.50","          $29,901,899.50","           1,135.0","              $26,345.29",
Amherst-Pelham,06050000,"          $30,919,410.00","           1,278.0","              $24,193.59","          $35,197,652.00","           1,433.4","              $24,555.36",
Andover,00090000,"         $111,233,153.00","           5,587.9","              $19,906.07","         $119,204,481.00","           5,692.3","              $20,941.36",
Argosy Collegiate Charter School (District),35090000,"           $9,321,834.82",             568.8,"              $16,388.31","           $9,321,834.82",             568.8,"              $16,388.31",
Arlington,00100000,"          $97,116,943.52","           5,739.9","              $16,919.62","         $105,176,252.35","           5,864.7","              $17,933.78",
Ashburnham-Westminster,06100000,"          $32,368,891.92","           2,204.7","              $14,681.77","          $34,367,218.10","           2,303.4","              $14,920.21",
Ashland,00140000,"          $41,552,192.62","           2,754.7","              $15,084.11","          $45,375,546.89","           2,809.3","              $16,151.91",
Assabet Valley Regional Vocational Technical,08010000,"          $23,463,517.39","           1,145.5","              $20,483.21","          $23,476,517.39","           1,145.5","              $20,494.56",
Athol-Royalston,06150000,"          $24,620,115.25","           1,443.9","              $17,051.12","          $28,833,401.53","           1,766.9","              $16,318.64",
Atlantis Charter (District),04910000,"          $18,672,052.35","           1,296.1","              $14,406.56","          $18,672,052.35","           1,296.1","              $14,406.56",
Attleboro,00160000,"          $84,392,374.03","           5,707.0","              $14,787.52","          $95,085,999.05","           6,202.9","              $15,329.28",
Auburn,00170000,"          $37,360,958.16","           2,509.1","              $14,890.18","          $38,665,237.60","           2,573.8","              $15,022.63",
Avon,00180000,"          $12,531,116.00",             681.5,"              $18,387.55","          $13,372,850.00",             712.4,"              $18,771.55",
Ayer Shirley School District,06160000,"          $28,878,193.08","           1,596.1","              $18,092.97","          $33,602,254.97","           1,829.8","              $18,363.89",
Barnstable,00200000,"          $90,545,919.20","           4,703.1","              $19,252.39","         $101,456,168.54","           5,305.9","              $19,121.39",
Baystate Academy Charter Public School (District),35020000,"           $8,139,956.91",             474.3,"              $17,162.04","           $8,139,956.91",             474.3,"              $17,162.04",
Bedford,00230000,"          $51,794,772.66","           2,613.1","              $19,821.20","          $57,122,825.07","           2,672.7","              $21,372.70",
Belchertown,00240000,"          $32,812,030.22","           2,137.6","              $15,349.94","          $36,060,639.70","           2,338.5","              $15,420.41",
Bellingham,00250000,"          $37,950,575.18","           1,967.3","              $19,290.69","          $44,476,541.19","           2,288.1","              $19,438.20",
Belmont,00260000,"          $68,646,177.00","           4,374.9","              $15,690.91","          $79,174,415.00","           4,537.0","              $17,450.83",
Benjamin Banneker Charter Public (District),04200000,"           $8,463,498.35",             341.3,"              $24,797.10","           $8,463,498.35",             341.3,"              $24,797.10",
Benjamin Franklin Classical Charter Public (District),04470000,"          $11,631,481.57",             773.9,"              $15,030.28","          $11,631,481.57",             773.9,"              $15,030.28",
Berkley,00270000,"          $11,315,658.00",             853.1,"              $13,264.16","          $11,671,539.00",             868.0,"              $13,446.47",
Berkshire Arts and Technology Charter Public (District),04140000,"           $6,815,423.18",             371.4,"              $18,349.64","           $6,815,423.18",             371.4,"              $18,349.64",
Berkshire Hills,06180000,"          $28,017,208.49","           1,168.6","              $23,975.02","          $30,422,983.89","           1,267.7","              $23,998.57",
Berlin-Boylston,06200000,"          $17,706,391.00","           1,034.5","              $17,115.89","          $19,006,985.00","           1,093.2","              $17,386.56",
Beverly,00300000,"          $69,387,472.52","           4,664.3","              $14,876.29","          $77,586,216.11","           4,824.6","              $16,081.38",
Billerica,00310000,"          $86,536,482.00","           4,591.4","              $18,847.52","          $93,384,612.00","           4,801.6","              $19,448.64",
Blackstone Valley Regional Vocational Technical,08050000,"          $26,835,586.93","           1,240.9","              $21,625.91","          $26,841,720.93","           1,241.9","              $21,613.43",
Blackstone-Millville,06220000,"          $23,804,688.00","           1,569.2","              $15,169.95","          $27,173,187.78","           1,747.0","              $15,554.20",
Blue Hills Regional Vocational Technical,08060000,"          $21,106,046.92",             886.2,"              $23,816.35","          $21,106,046.92",             886.2,"              $23,816.35",
Boston,00350000,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",
Boston Collegiate Charter (District),04490000,"          $16,629,287.75",             720.7,"              $23,073.48","          $16,629,287.75",             720.7,"              $23,073.48",
Boston Day and Evening Academy Charter (District),04240000,"           $7,369,900.25",             386.1,"              $19,085.90","           $7,369,900.25",             386.1,"              $19,085.90",
Boston Green Academy Horace Mann Charter School (District),04110000,"           $8,658,617.78",             495.5,"              $17,473.88","           $8,658,617.78",             495.5,"              $17,473.88",
Boston Preparatory Charter Public (District),04160000,"          $16,427,727.04",             665.6,"              $24,681.45","          $16,427,727.04",             665.6,"              $24,681.45",
Boston Renaissance Charter Public (District),04810000,"          $20,847,421.00",             945.2,"              $22,057.26","          $20,847,421.00",             945.2,"              $22,057.26",
Bourne,00360000,"          $34,402,079.87","           1,645.6","              $20,905.49","          $39,188,785.24","           1,931.0","              $20,294.55",
Boxford,00380000,"          $13,973,736.00",             688.5,"              $20,295.91","          $14,765,318.00",             699.8,"              $21,099.34",
Braintree,00400000,"          $90,673,494.78","           5,516.6","              $16,436.48","          $98,288,948.14","           5,627.9","              $17,464.59",
Brewster,00410000,"          $10,655,895.00",             423.0,"              $25,191.24","          $11,162,143.00",             444.4,"              $25,117.33",
Bridge Boston Charter School (District),04170000,"           $9,644,273.85",             336.7,"              $28,646.93","           $9,644,273.85",             336.7,"              $28,646.93",
Bridgewater-Raynham,06250000,"          $74,890,594.00","           5,346.3","              $14,007.93","          $81,772,877.00","           5,598.5","              $14,606.21",
Brimfield,00430000,"           $4,805,429.00",             262.7,"              $18,292.46","           $5,289,101.00",             271.8,"              $19,459.53",
