2019Per Pupil Expenditure,,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Abby Kelley Foster Charter Public (District),04450000,"          $21,896,724.82","           1,425.4","              $15,361.60","          $21,896,724.82","           1,425.4","              $15,361.60",
Abington,00010000,"          $28,935,060.43","           2,064.7","              $14,014.17","          $32,687,048.06","           2,166.7","              $15,086.10",
Academy Of the Pacific Rim Charter Public (District),04120000,"          $10,728,860.94",             532.7,"              $20,141.29","          $10,728,860.94",             532.7,"              $20,141.29",
Acton-Boxborough,06000000,"          $84,437,382.26","           5,586.8","              $15,113.73","          $93,817,043.97","           5,710.8","              $16,428.00",
Acushnet,00030000,"          $12,904,090.49","           1,018.1","              $12,674.68","          $17,148,647.53","           1,336.5","              $12,831.01",
Adams-Cheshire,06030000,"          $18,503,004.34","           1,161.6","              $15,928.89","          $20,868,108.53","           1,396.2","              $14,946.36",
Advanced Math and Science Academy Charter (District),04300000,"          $15,910,750.63",             972.7,"              $16,357.31","          $15,910,750.63",             972.7,"              $16,357.31",
Agawam,00050000,"          $63,234,829.14","           3,710.3","              $17,043.05","          $69,007,740.22","           3,868.8","              $17,836.99",
Alma del Mar Charter School (District),04090000,"           $7,277,889.00",             440.0,"              $16,541.03","           $7,277,889.00",             440.0,"              $16,541.03",
Amesbury,00070000,"          $34,107,103.50","           2,044.4","              $16,683.19","          $39,184,044.16","           2,195.9","              $17,844.18",
Amherst,00080000,"          $26,795,465.00","           1,130.9","              $23,693.93","          $28,985,814.33","           1,255.3","              $23,090.75",
Amherst-Pelham,06050000,"          $29,757,591.00","           1,334.3","              $22,302.02","          $34,083,650.00","           1,492.6","              $22,835.09",
Andover,00090000,"         $105,001,180.47","           5,967.5","              $17,595.51","         $113,553,799.47","           6,089.0","              $18,649.01",
Argosy Collegiate Charter School (District),35090000,"           $6,780,429.59",             458.9,"              $14,776.36","           $6,780,429.59",             458.9,"              $14,776.36",
Arlington,00100000,"          $81,281,781.54","           5,957.9","              $13,642.69","          $89,253,263.12","           6,106.6","              $14,615.87",
