2020Per Pupil Expenditure,,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Abby Kelley Foster Charter Public (District),04450000,"          $21,885,215.62","           1,421.4","              $15,396.51","          $21,885,215.62","           1,421.4","              $15,396.51",
Abington,00010000,"          $29,446,070.52","           2,146.0","              $13,721.37","          $34,045,424.41","           2,253.2","              $15,109.81",
Academy Of the Pacific Rim Charter Public (District),04120000,"          $11,037,174.88",             536.1,"              $20,587.90","          $11,037,174.88",             536.1,"              $20,587.90",
Acton-Boxborough,06000000,"          $86,603,131.70","           5,437.6","              $15,926.72","          $96,289,999.24","           5,566.4","              $17,298.43",
Acushnet,00030000,"          $12,653,923.35","           1,018.8","              $12,420.42","          $17,164,756.77","           1,325.5","              $12,949.65",
Advanced Math and Science Academy Charter (District),04300000,"          $15,918,145.99",             964.8,"              $16,498.74","          $15,918,145.99",             964.8,"              $16,498.74",
Agawam,00050000,"          $63,222,072.60","           3,699.1","              $17,091.20","          $68,666,461.05","           3,848.2","              $17,843.79",
Alma del Mar Charter School (District),04090000,"          $10,667,660.00",             639.9,"              $16,671.61","          $10,667,660.00",             639.9,"              $16,671.61",
Amesbury,00070000,"          $33,455,712.53","           2,015.8","              $16,596.74","          $39,152,791.79","           2,196.1","              $17,828.33",
Amherst,00080000,"          $26,383,257.00","           1,106.9","              $23,835.27","          $28,610,280.00","           1,228.5","              $23,288.79",
Amherst-Pelham,06050000,"          $29,317,423.00","           1,345.7","              $21,786.00","          $33,690,959.00","           1,498.1","              $22,489.13",
Andover,00090000,"         $108,485,137.45","           5,869.7","              $18,482.23","         $117,777,377.45","           5,992.0","              $19,655.77",
Argosy Collegiate Charter School (District),35090000,"           $8,288,240.76",             508.1,"              $16,313.19","           $8,288,240.76",             508.1,"              $16,313.19",
Arlington,00100000,"          $90,254,320.50","           6,096.3","              $14,804.77","          $96,863,420.28","           6,197.7","              $15,628.93",
Ashburnham-Westminster,06100000,"          $30,821,395.10","           2,376.1","              $12,971.42","          $32,558,334.15","           2,465.8","              $13,203.96",
Ashland,00140000,"          $39,289,471.97","           2,869.7","              $13,691.14","          $43,599,903.48","           2,937.0","              $14,845.05",
Assabet Valley Regional Vocational Technical,08010000,"          $23,832,072.12","           1,160.7","              $20,532.50","          $23,870,752.12","           1,161.7","              $20,548.12",
Athol-Royalston,06150000,"          $21,931,136.67","           1,525.1","              $14,380.13","          $26,318,318.35","           1,875.4","              $14,033.44",
Atlantis Charter (District),04910000,"          $18,466,839.00","           1,301.6","              $14,187.69","          $18,466,839.00","           1,301.6","              $14,187.69",
Attleboro,00160000,"          $81,810,391.30","           5,986.6","              $13,665.59","          $92,005,267.71","           6,476.4","              $14,206.24",
Auburn,00170000,"          $36,961,376.60","           2,640.8","              $13,996.28","          $38,350,080.14","           2,693.2","              $14,239.60",
Avon,00180000,"          $11,864,225.00",             721.8,"              $16,437.00","          $13,140,054.00",             748.4,"              $17,557.53",
Ayer Shirley School District,06160000,"          $26,211,086.04","           1,677.5","              $15,625.09","          $30,712,776.30","           1,892.5","              $16,228.68",
Barnstable,00200000,"          $88,538,243.57","           5,075.7","              $17,443.55","          $98,005,720.48","           5,630.9","              $17,404.98",
Baystate Academy Charter Public School (District),35020000,"           $8,382,148.79",             473.7,"              $17,694.68","           $8,382,148.79",             473.7,"              $17,694.68",
Bedford,00230000,"          $50,196,541.22","           2,688.5","              $18,670.84","          $55,192,858.99","           2,734.5","              $20,183.89",
Belchertown,00240000,"          $32,308,201.52","           2,244.4","              $14,395.03","          $35,668,291.58","           2,449.7","              $14,560.27",
Bellingham,00250000,"          $36,031,834.54","           2,130.1","              $16,915.56","          $42,475,337.14","           2,410.5","              $17,620.97",
Belmont,00260000,"          $65,303,313.00","           4,717.1","              $13,843.95","          $73,554,813.00","           4,813.8","              $15,279.99",
Benjamin Banneker Charter Public (District),04200000,"           $8,098,949.36",             335.8,"              $24,121.25","           $8,098,949.36",             335.8,"              $24,121.25",
Benjamin Franklin Classical Charter Public (District),04470000,"          $11,335,463.69",             708.6,"              $15,996.31","          $11,335,463.69",             708.6,"              $15,996.31",
Bentley Academy Charter School (District),35110000,"           $4,548,160.49",             323.5,"              $14,061.18","           $4,548,160.49",             323.5,"              $14,061.18",
Berkley,00270000,"          $10,972,012.00",             918.5,"              $11,945.58","          $11,396,394.00",             931.0,"              $12,241.02",
Berkshire Arts and Technology Charter Public (District),04140000,"           $6,507,994.34",             364.4,"              $17,860.95","           $6,507,994.34",             364.4,"              $17,860.95",
Berkshire Hills,06180000,"          $27,734,002.94","           1,202.0","              $23,073.21","          $29,987,385.64","           1,307.1","              $22,941.92",
Berlin-Boylston,06200000,"          $16,466,845.00","           1,049.2","              $15,694.67","          $18,282,809.00","           1,105.8","              $16,533.56",
Beverly,00300000,"          $64,369,956.05","           4,742.4","              $13,573.29","          $72,741,821.42","           4,921.2","              $14,781.32",
Billerica,00310000,"          $82,053,202.00","           4,809.2","              $17,061.72","          $89,412,353.00","           5,039.2","              $17,743.36",
Blackstone Valley Regional Vocational Technical,08050000,"          $25,573,330.57","           1,238.6","              $20,646.96","          $25,584,432.57","           1,240.6","              $20,622.63",
Blackstone-Millville,06220000,"          $23,430,312.04","           1,660.3","              $14,112.10","          $26,329,639.55","           1,836.1","              $14,339.98",
Blue Hills Regional Vocational Technical,08060000,"          $20,614,109.87",             862.5,"              $23,900.42","          $20,614,109.87",             862.5,"              $23,900.42",
Boston,00350000,"       $1,288,689,470.40","          51,103.0","              $25,217.49","       $1,570,952,894.33","          65,400.5","              $24,020.50",
Boston Collegiate Charter (District),04490000,"          $15,248,779.53",             700.0,"              $21,783.97","          $15,248,779.53",             700.0,"              $21,783.97",
Boston Day and Evening Academy Charter (District),04240000,"           $7,286,922.69",             397.9,"              $18,314.23","           $7,286,922.69",             397.9,"              $18,314.23",
Boston Green Academy Horace Mann Charter School (District),04110000,"           $7,936,636.59",             488.0,"              $16,265.29","           $7,936,636.59",             488.0,"              $16,265.29",
Boston Preparatory Charter Public (District),04160000,"          $13,784,062.45",             575.7,"              $23,941.47","          $13,784,062.45",             575.7,"              $23,941.47",
Boston Renaissance Charter Public (District),04810000,"          $21,550,231.00",             941.1,"              $22,898.25","          $21,550,231.00",             941.1,"              $22,898.25",
Bourne,00360000,"          $32,770,035.35","           1,907.4","              $17,180.47","          $37,340,744.42","           2,187.0","              $17,073.96",
Boxford,00380000,"          $13,642,613.00",             758.3,"              $17,991.05","          $14,334,636.00",             763.8,"              $18,767.53",
Braintree,00400000,"          $86,337,028.48","           5,863.0","              $14,725.74","          $93,092,438.64","           5,960.8","              $15,617.44",
Brewster,00410000,"           $9,934,862.00",             468.8,"              $21,192.11","          $10,503,520.00",             493.1,"              $21,300.99",
Bridge Boston Charter School (District),04170000,"           $8,484,575.00",             335.5,"              $25,290.10","           $8,484,575.00",             335.5,"              $25,290.10",
Bridgewater-Raynham,06250000,"          $71,771,180.72","           5,428.5","              $13,221.18","          $79,229,512.72","           5,683.7","              $13,939.78",
Brimfield,00430000,"           $4,400,420.00",             305.0,"              $14,427.61","           $4,987,376.00",             319.9,"              $15,590.42",
Bristol County Agricultural,09100000,"           $9,281,754.45",             445.8,"              $20,820.45","           $9,281,754.45",             445.8,"              $20,820.45",
Bristol-Plymouth Regional Vocational Technical,08100000,"          $25,663,450.00","           1,316.6","              $19,492.21","          $25,739,081.00","           1,331.6","              $19,329.44",
Brockton,00440000,"         $247,558,495.00","          16,024.8","              $15,448.46","         $274,509,498.52","          17,670.7","              $15,534.73",
